age50-64,2021-11-12,59137
age65,2021-11-12,62598
age12-17,2021-11-12,8672
age5-11,2021-11-12,42538
age18-49,2021-11-11,65304
age50-64,2021-11-11,43686
age65,2021-11-11,56158
age12-17,2021-11-11,6824
age5-11,2021-11-11,44858
age18-49,2021-11-10,68137
age50-64,2021-11-10,44505
age65,2021-11-10,63824
age12-17,2021-11-10,7055
age5-11,2021-11-10,42224
age18-49,2021-11-09,65424
age50-64,2021-11-09,43797
age65,2021-11-09,66832
age12-17,2021-11-09,6226
age5-11,2021-11-09,34904
age18-49,2021-11-08,61496
age50-64,2021-11-08,39645
age65,2021-11-08,61913
age12-17,2021-11-08,5960
age5-11,2021-11-08,30920
age18-49,2021-11-07,23559
age50-64,2021-11-07,13627
age65,2021-11-07,14243
age12-17,2021-11-07,2201
age5-11,2021-11-07,13932
age18-49,2021-11-06,41753
age50-64,2021-11-06,27236
age65,2021-11-06,28611
age12-17,2021-11-06,5011
age5-11,2021-11-06,25686
age18-49,2021-11-05,86290
age50-64,2021-11-05,56955
age65,2021-11-05,73281
age12-17,2021-11-05,8835
age5-11,2021-11-05,17672
age18-49,2021-11-04,63901
age50-64,2021-11-04,43573
age65,2021-11-04,74892
age12-17,2021-11-04,6130
age5-11,2021-11-04,9425
age18-49,2021-11-03,59971
age50-64,2021-11-03,41971
age65,2021-11-03,77582
age12-17,2021-11-03,5878
age5-11,2021-11-03,3964
age18-49,2021-11-02,59513
age50-64,2021-11-02,41899
age65,2021-11-02,82353
age12-17,2021-11-02,5781
age5-11,2021-11-02,62
age18-49,2021-11-01,57231
age50-64,2021-11-01,40084
age65,2021-11-01,74429
age12-17,2021-11-01,6350
age5-11,2021-11-01,30
age18-49,2021-10-31,18616
age50-64,2021-10-31,13137
age65,2021-10-31,16873
age12-17,2021-10-31,2149
age5-11,2021-10-31,3
age18-49,2021-10-30,34730
age50-64,2021-10-30,27387
age65,2021-10-30,35899
age12-17,2021-10-30,5242
age5-11,2021-10-30,9
age18-49,2021-10-29,70405
age50-64,2021-10-29,53181
age65,2021-10-29,86742
age12-17,2021-10-29,8267
age5-11,2021-10-29,19
age18-49,2021-10-28,53075
age50-64,2021-10-28,38976
age65,2021-10-28,84340
age12-17,2021-10-28,5681
age5-11,2021-10-28,14
age18-49,2021-10-27,53022
age50-64,2021-10-27,37601
age65,2021-10-27,85732
age12-17,2021-10-27,5953
age5-11,2021-10-27,17
age18-49,2021-10-26,50733
age50-64,2021-10-26,36808
age65,2021-10-26,87054
age12-17,2021-10-26,5668
age5-11,2021-10-26,7
age18-49,2021-10-25,51066
age50-64,2021-10-25,34473
age65,2021-10-25,71677
age12-17,2021-10-25,5966
age5-11,2021-10-25,5
age18-49,2021-10-24,16934
age50-64,2021-10-24,10807
age65,2021-10-24,17008
age12-17,2021-10-24,2705
age5-11,2021-10-24,11
age18-49,2021-10-23,30812
age50-64,2021-10-23,20995
age65,2021-10-23,34813
age12-17,2021-10-23,6098
age5-11,2021-10-23,6
age18-49,2021-10-22,56752
age50-64,2021-10-22,35237
age65,2021-10-22,61989
age12-17,2021-10-22,8768
age5-11,2021-10-22,11
age18-49,2021-10-21,39000
age50-64,2021-10-21,20154
age65,2021-10-21,31747
age12-17,2021-10-21,5736
age5-11,2021-10-21,8
age18-49,2021-10-20,37601
age50-64,2021-10-20,18663
age65,2021-10-20,30864
age12-17,2021-10-20,5770
age5-11,2021-10-20,5
age18-49,2021-10-19,37905
age50-64,2021-10-19,19159
age65,2021-10-19,32687
age12-17,2021-10-19,6101
age5-11,2021-10-19,19
age18-49,2021-10-18,42239
age50-64,2021-10-18,19930
age65,2021-10-18,31137
age12-17,2021-10-18,6619
age5-11,2021-10-18,5
age18-49,2021-10-17,15403
age50-64,2021-10-17,6401
age65,2021-10-17,6058
age12-17,2021-10-17,2767
age5-11,2021-10-17,1
age18-49,2021-10-16,26112
age50-64,2021-10-16,12644
age65,2021-10-16,13973
age12-17,2021-10-16,6344
age5-11,2021-10-16,5
age18-49,2021-10-15,53674
age50-64,2021-10-15,26508
age65,2021-10-15,35795
age12-17,2021-10-15,10363
age5-11,2021-10-15,14
age18-49,2021-10-14,41331
age50-64,2021-10-14,19696
age65,2021-10-14,33612
age12-17,2021-10-14,6188
age5-11,2021-10-14,10
age18-49,2021-10-13,41559
age50-64,2021-10-13,18774
age65,2021-10-13,32939
age12-17,2021-10-13,6453
age5-11,2021-10-13,20
age18-49,2021-10-12,42765
age50-64,2021-10-12,19639
age65,2021-10-12,37141
age12-17,2021-10-12,6368
age5-11,2021-10-12,37
age18-49,2021-10-11,44360
age50-64,2021-10-11,19829
age65,2021-10-11,35705
age12-17,2021-10-11,7129
age5-11,2021-10-11,16
age18-49,2021-10-10,17488
age50-64,2021-10-10,6705
age65,2021-10-10,7807
age12-17,2021-10-10,3644
age5-11,2021-10-10,15
age18-49,2021-10-09,28827
age50-64,2021-10-09,12685
age65,2021-10-09,16185
age12-17,2021-10-09,7709
age5-11,2021-10-09,15
age18-49,2021-10-08,60463
age50-64,2021-10-08,28052
age65,2021-10-08,42591
age12-17,2021-10-08,11852
age5-11,2021-10-08,19
age18-49,2021-10-07,46950
age50-64,2021-10-07,20726
age65,2021-10-07,42512
age12-17,2021-10-07,7169
age5-11,2021-10-07,7
age18-49,2021-10-06,43667
age50-64,2021-10-06,18170
age65,2021-10-06,40178
age12-17,2021-10-06,7425
age5-11,2021-10-06,10
age18-49,2021-10-05,43865
age50-64,2021-10-05,17724
age65,2021-10-05,42669
age12-17,2021-10-05,7454
age5-11,2021-10-05,7
age18-49,2021-10-04,43268
age50-64,2021-10-04,17464
age65,2021-10-04,42286
age12-17,2021-10-04,8126
age5-11,2021-10-04,11
age18-49,2021-10-03,17931
age50-64,2021-10-03,6422
age65,2021-10-03,9618
age12-17,2021-10-03,4463
age5-11,2021-10-03,7
age18-49,2021-10-02,28840
age50-64,2021-10-02,11623
age65,2021-10-02,18764
age12-17,2021-10-02,8922
age5-11,2021-10-02,9
age18-49,2021-10-01,59419
age50-64,2021-10-01,24988
age65,2021-10-01,49076
age12-17,2021-10-01,12442
age5-11,2021-10-01,33
age18-49,2021-09-30,52962
age50-64,2021-09-30,20479
age65,2021-09-30,50541
age12-17,2021-09-30,8186
age5-11,2021-09-30,33
age18-49,2021-09-29,51418
age50-64,2021-09-29,19337
age65,2021-09-29,50772
age12-17,2021-09-29,8012
age5-11,2021-09-29,23
age18-49,2021-09-28,49770
age50-64,2021-09-28,18824
age65,2021-09-28,52973
age12-17,2021-09-28,8248
age5-11,2021-09-28,20
age18-49,2021-09-27,42224
age50-64,2021-09-27,16311
age65,2021-09-27,53978
age12-17,2021-09-27,6623
age5-11,2021-09-27,2
age18-49,2021-09-26,16612
age50-64,2021-09-26,5760
