2021-12-20,64031,age18-49
2021-12-20,30562,age50-64
2021-12-20,17042,age65
2021-12-20,7543,age12-17
2021-12-20,19162,age5-11
2021-12-19,35252,age18-49
2021-12-19,15022,age50-64
2021-12-19,6225,age65
2021-12-19,3546,age12-17
2021-12-19,6159,age5-11
2021-12-18,61008,age18-49
2021-12-18,30366,age50-64
2021-12-18,12499,age65
2021-12-18,7159,age12-17
2021-12-18,20738,age5-11
2021-12-17,112338,age18-49
2021-12-17,58542,age50-64
2021-12-17,31406,age65
2021-12-17,10484,age12-17
2021-12-17,30297,age5-11
2021-12-16,104119,age18-49
2021-12-16,53790,age50-64
2021-12-16,32886,age65
2021-12-16,6543,age12-17
2021-12-16,19087,age5-11
2021-12-15,102852,age18-49
2021-12-15,52732,age50-64
2021-12-15,32633,age65
2021-12-15,7262,age12-17
2021-12-15,28391,age5-11
2021-12-14,100818,age18-49
2021-12-14,52122,age50-64
2021-12-14,29869,age65
2021-12-14,6556,age12-17
2021-12-14,28849,age5-11
2021-12-13,95935,age18-49
2021-12-13,50088,age50-64
2021-12-13,29746,age65
2021-12-13,6128,age12-17
2021-12-13,27749,age5-11
2021-12-12,31946,age18-49
2021-12-12,14956,age50-64
2021-12-12,6476,age65
2021-12-12,2525,age12-17
2021-12-12,9989,age5-11
2021-12-11,64426,age18-49
2021-12-11,32807,age50-64
2021-12-11,13974,age65
2021-12-11,6789,age12-17
2021-12-11,37167,age5-11
2021-12-10,117292,age18-49
2021-12-10,65013,age50-64
2021-12-10,35317,age65
2021-12-10,8837,age12-17
2021-12-10,45285,age5-11
2021-12-09,107378,age18-49
2021-12-09,59062,age50-64
2021-12-09,36581,age65
2021-12-09,6334,age12-17
2021-12-09,35526,age5-11
2021-12-08,106254,age18-49
2021-12-08,59795,age50-64
2021-12-08,39810,age65
2021-12-08,7216,age12-17
2021-12-08,40189,age5-11
2021-12-07,108172,age18-49
2021-12-07,62876,age50-64
2021-12-07,41768,age65
2021-12-07,6953,age12-17
2021-12-07,35564,age5-11
2021-12-06,99731,age18-49
2021-12-06,59705,age50-64
2021-12-06,39461,age65
2021-12-06,6167,age12-17
2021-12-06,32593,age5-11
2021-12-05,33932,age18-49
2021-12-05,18609,age50-64
2021-12-05,8308,age65
2021-12-05,2180,age12-17
2021-12-05,17023,age5-11
2021-12-04,66650,age18-49
2021-12-04,38403,age50-64
2021-12-04,17529,age65
2021-12-04,5195,age12-17
2021-12-04,50706,age5-11
2021-12-03,124277,age18-49
2021-12-03,76614,age50-64
2021-12-03,44815,age65
2021-12-03,8331,age12-17
2021-12-03,57963,age5-11
2021-12-02,108507,age18-49
2021-12-02,68153,age50-64
2021-12-02,48200,age65
2021-12-02,6727,age12-17
2021-12-02,44450,age5-11
2021-12-01,101063,age18-49
2021-12-01,64954,age50-64
2021-12-01,48971,age65
2021-12-01,6956,age12-17
2021-12-01,48354,age5-11
2021-11-30,87297,age18-49
2021-11-30,59843,age50-64
2021-11-30,47833,age65
2021-11-30,6372,age12-17
2021-11-30,41795,age5-11
2021-11-29,75285,age18-49
2021-11-29,51600,age50-64
2021-11-29,41059,age65
2021-11-29,5746,age12-17
2021-11-29,37716,age5-11
2021-11-28,26408,age18-49
2021-11-28,15364,age50-64
2021-11-28,7867,age65
2021-11-28,1878,age12-17
2021-11-28,12582,age5-11
2021-11-27,44988,age18-49
2021-11-27,27821,age50-64
2021-11-27,14598,age65
2021-11-27,3324,age12-17
2021-11-27,22798,age5-11
2021-11-26,63157,age18-49
2021-11-26,41133,age50-64
2021-11-26,23728,age65
2021-11-26,4551,age12-17
2021-11-26,19142,age5-11
2021-11-25,2293,age18-49
2021-11-25,1238,age50-64
2021-11-25,914,age65
2021-11-25,139,age12-17
2021-11-25,313,age5-11
2021-11-24,86148,age18-49
2021-11-24,50208,age50-64
2021-11-24,36175,age65
2021-11-24,6159,age12-17
2021-11-24,25209,age5-11
2021-11-23,96527,age18-49
2021-11-23,60794,age50-64
2021-11-23,50244,age65
2021-11-23,6729,age12-17
2021-11-23,28278,age5-11
2021-11-22,89660,age18-49
2021-11-22,59560,age50-64
2021-11-22,48548,age65
2021-11-22,6610,age12-17
2021-11-22,26428,age5-11
2021-11-21,31862,age18-49
2021-11-21,18795,age50-64
2021-11-21,11229,age65
2021-11-21,2194,age12-17
2021-11-21,8592,age5-11
2021-11-20,59631,age18-49
2021-11-20,39584,age50-64
2021-11-20,22781,age65
2021-11-20,5574,age12-17
2021-11-20,29011,age5-11
2021-11-19,102295,age18-49
2021-11-19,69985,age50-64
2021-11-19,54005,age65
2021-11-19,8595,age12-17
2021-11-19,33345,age5-11
