item_id,date,p10,p50,p90
age18-49,2022-01-19T00:00:00Z,-15770.112344116198,36045.029123359,90677.55836596809
age18-49,2022-01-20T00:00:00Z,-14889.439777882748,40258.299559574334,91617.93008653948
age18-49,2022-01-21T00:00:00Z,-5320.271280466397,44101.260572352316,94962.98797369035
age18-49,2022-01-22T00:00:00Z,-25865.735109270354,26699.88829579884,96861.77025250772
age18-49,2022-01-23T00:00:00Z,-45216.03184036963,4999.971924308331,65205.812962734366
age18-49,2022-01-24T00:00:00Z,-16430.73529081251,30568.02572171932,100349.91917742387
age18-49,2022-01-25T00:00:00Z,-14472.756313112171,39356.3034311185,101082.98048544988
age18-49,2022-01-26T00:00:00Z,-15073.924984050607,42687.860758942275,96947.61353037466
age18-49,2022-01-27T00:00:00Z,-18833.26519395379,47799.304463250155,102127.9842249048
age18-49,2022-01-28T00:00:00Z,-8534.330542023772,53611.13977643886,119143.49989943276
age18-49,2022-01-29T00:00:00Z,-29679.609861644814,24240.372528313543,80110.61461402535
age18-49,2022-01-30T00:00:00Z,-52560.862056314865,377.1370593580614,61524.6021380171
age18-49,2022-01-31T00:00:00Z,-28672.77070363774,32690.675320209346,99691.60087739059
age18-49,2022-02-01T00:00:00Z,-27616.593539089485,45389.82961361393,104766.93467104524
age18-49,2022-02-02T00:00:00Z,-27931.6194727853,53349.61291926241,112731.16897988378
age18-49,2022-02-03T00:00:00Z,-10437.806662024796,47943.299460968585,111994.43122302706
age18-49,2022-02-04T00:00:00Z,-12476.824676604974,46700.39087213819,106349.27346722202
age18-49,2022-02-05T00:00:00Z,-33878.971003729675,33253.77182847943,85148.85934915981
age18-49,2022-02-06T00:00:00Z,-67633.11179734787,-6693.691243906424,73081.3252903467
age18-49,2022-02-07T00:00:00Z,-53271.29560842308,26526.17328870723,87598.79306813244
age18-49,2022-02-08T00:00:00Z,-19622.9598560149,44549.0633064376,107270.68849702996
